:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
0	:invoke	:generate	nil
2	:ok	:generate	"e3b5abd938fc3b776bac5cfc09bd2c3ad01d87b14bf98638af351087bc32588c"
1	:ok	:generate	"6e9bc5e035d77ccc6bdb05011aa91126038499d2a2ab60aef52a79e6b3020fce"
1	:invoke	:generate	nil
0	:ok	:generate	"6c3bd208887b38289c07ff17797881561c9dbe90646e09a10153b7c590d39aaf"
2	:invoke	:generate	nil
1	:ok	:generate	"60bbb3aff1ed0cf211bf97922eb71f664cbb1b3e8c9ed00be5250e8da18bcf56"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"dcbfa6fd8d57051224e9b24e9e4c364cc67ef8d46110d4ed800f798a8c36baa8"
2	:invoke	:generate	nil
0	:ok	:generate	"ed33199a6b6bb3ed779d9898bea5b594a817dd2c8d6a6a2d5fe99ea734425304"
1	:ok	:generate	"db2b7eca6b205bfba4cba81d3274362d3939573b3f8a54d62f2800d6eaa1528b"
1	:invoke	:generate	nil
2	:ok	:generate	"4b511a4b4a23de9829ae2c7b938fb4efc679393897bc8be1cf2fe62c5fd7ee10"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"7a1d35fe6ed796ed34e20fb961d5642230119fb82d18e6427a9cb25a351c173f"
2	:ok	:generate	"d80ef2a5d95ed7d4b97a5a6b13e0266de6404d04dbde39ac72714a88e443aada"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"67e670815cf5257d673a59d127b43aeffc291bb028c51d4cb40b1a829c5c2982"
0	:invoke	:generate	nil
1	:ok	:generate	"805c68c21c941c72f08540f9181ccabb3e6f4cdd2b6a6b60c2677655c83f17f7"
2	:ok	:generate	"c11267057ee5ec85ef9c9c4f93aad9f526523bc634bc76ebc078d76261c2bcd7"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"68a6f1b15a5b97753934809ade2ec7d07de142127c431b62f6af17074ab45118"
0	:invoke	:generate	nil
1	:ok	:generate	"e35e95c235716fe949a241aba5d95ec353ffdc6c2832a15f1addf98e44783356"
1	:invoke	:generate	nil
0	:ok	:generate	"a8472109d7f4b5df9c80af9237dd093e5948c6aca5bc2569b1ee7d16897dd311"
0	:invoke	:generate	nil
2	:ok	:generate	"52c97c5e2b58fa6aa1bc2d0fa1ff4641b7f88be90c13722cb21090734a204d45"
2	:invoke	:generate	nil
1	:ok	:generate	"dc4abd0590eb0367d23074acc63252994c0dcea605dae6223862b286a1dfb376"
0	:ok	:generate	"2f23748e17de83cc385ea280bdd2a1f26b9f97212474671b606f29cbd008f230"
1	:invoke	:generate	nil
2	:ok	:generate	"21ed2377f60ebc675cb7347af419dc9e29d6fdcafd71ce16e7a7c7c4eb741761"
2	:invoke	:generate	nil
1	:ok	:generate	"d44decdd118b930f50607923cf74338781ab2e9323dc7f71b66f4d070f8522e7"
0	:invoke	:generate	nil
2	:ok	:generate	"28cd56a7d2c626956819502d72b473788b4f3a14ae36fac2d8f128c72c6c53d5"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"b16780cba6c3110e3746bc032466977b06a5c526add669f08fa2c9a7309ffe72"
0	:invoke	:generate	nil
2	:ok	:generate	"4e460895a4fd4ff8b6456fc85561ade6fca53256f8c1e0fe69e0f4ab43a570df"
1	:ok	:generate	"10bad81a8a13d48a1cb5e9b3d0e30494cf69b2c0c12341e972cb44df89eb19b6"
0	:ok	:generate	"fc36526dd68a7719c9d5e0f291aa7c5f2aa23394e1ee5d11bbbcb60ea0945375"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	"de0ab860e32bb32f4a42218a53f78719e3dc92cb5bddc939a828bb9d4ad195e3"
0	:ok	:generate	"0d05d1c6160ccbda047193bab1d5e159138c7161ebd54b09d49cd70b3626332f"
1	:invoke	:generate	nil
1	:ok	:generate	"97d90d8652d167ef05dc0ac87656cb3a02936832d9e7d864923ce237c874e799"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"69c9fd73bf483fb0887f27581fbc9a467a651c628c4934e16ff7a424a82300e2"
0	:ok	:generate	"28e1084c89a95071036c196f0ac8db299c36518f5da42432eb0e7482ef74cf2f"
2	:invoke	:generate	nil
1	:ok	:generate	"c2ff35c1bd39eb8fa69c1a9e5e045b1ad57932bc5998c8a6baed152d6d5a4b3f"
2	:ok	:generate	"3ab143833458f3148f32b9499b6b1085a4d7300223857ff27d8b1e2468f7ee45"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"2ad00a6440fbd5dde24e98470004a62411941a4a5a6dceaf49e4dc5cccc60cd4"
1	:invoke	:generate	nil
0	:ok	:generate	"7e75c3374448ca74519b84e3e9f2096d250941b1fa56dcf7ae707de940c396f3"
2	:invoke	:generate	nil
1	:ok	:generate	"8dbdc850a9aa27e6923a098f80f35018c33ad97aa47ad45d8af8aed24efd2637"
2	:ok	:generate	"13ca65c57d39ab488a34bd0a013ac965d17e3db861073ec92073502da33ba511"
2	:invoke	:generate	nil
2	:ok	:generate	"972c4e8118f9dd8d7ff9d1079d8a6c9922925d4b222a85c2187f72d44d6d1e7e"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"4b5665fe5ef5e62eada6e5a65d37578959bcc20d25229f23a45ab1d1ba4cd026"
2	:invoke	:generate	nil
1	:ok	:generate	"87230af672e6dc43a35d68bc20a61696cf8bee5a104381766f1411fda96fa8b7"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"5d6b7e0337886751fd073de3894e610baedb6457cda1e2864223e8f382ba3864"
